Date,valor_propio,valor_regalo,valor_mejorado,peak,drawdown
2021-07-19,435696.52084341797,21097.85372214901,456794.374565567,459234.4188351288,-0.005313287004382343
2021-07-20,435974.49785223755,21097.85372214901,457072.3515743866,459234.4188351288,-0.004707981745415294
2021-07-21,438862.08015433105,21097.85372214901,459959.9338764801,459959.9338764801,0.0
2021-07-22,438922.42504111084,21097.85372214901,460020.2787632599,460020.2787632599,0.0
2021-07-23,435754.0876387671,21097.85372214901,456851.9413609161,460020.2787632599,-0.006887386379708428
2021-07-26,435523.3240508154,21097.85372214901,456621.17777296447,460020.2787632599,-0.00738902423917857
2021-07-27,433907.55046835693,21097.85372214901,455005.404190506,460020.2787632599,-0.010901420663967534
2021-07-28,434467.1402548865,21097.85372214901,455564.9939770355,460020.2787632599,-0.00968497475416119
2021-07-29,435291.11587515625,21097.85372214901,456388.9695973053,460020.2787632599,-0.00789380236827205
2021-07-30,435439.5749091223,21097.85372214901,456537.42863127135,460020.2787632599,-0.007571079564909581
2021-08-02,435816.94803229126,21097.85372214901,456914.8017544403,460020.2787632599,-0.00675073937429126
2021-08-03,435721.2412451819,21097.85372214901,456819.0949673309,460020.2787632599,-0.0069587884354471675
2021-08-04,435726.2162207678,21097.85372214901,456824.06994291686,460020.2787632599,-0.006947973747887496
2021-08-05,435636.92825308593,21097.85372214901,456734.781975235,460020.2787632599,-0.007142069468889037
2021-08-06,435451.98656073364,21097.85372214901,456549.8402828827,460020.2787632599,-0.007544098903003335
2021-08-09,436056.3796423987,21097.85372214901,457154.2333645477,460020.2787632599,-0.006230258819061997
2021-08-10,436272.0576285437,21097.85372214901,457369.91135069274,460020.2787632599,-0.0057614143004576035
2021-08-11,435375.21562567505,21097.85372214901,456473.0693478241,460020.2787632599,-0.0077109848830409725
2021-08-12,435073.3808516577,21097.85372214901,456171.23457380675,460020.2787632599,-0.008367118510081938
2021-08-13,434475.80827704223,21097.85372214901,455573.6619991913,460020.2787632599,-0.00966613205840207
2021-08-16,433958.8581275061,21097.85372214901,455056.71184965514,460020.2787632599,-0.010789887191384307
2021-08-17,433421.79012289795,21097.85372214901,454519.643845047,460020.2787632599,-0.011957374863997422
2021-08-18,434411.71728125366,21097.85372214901,455509.5710034027,460020.2787632599,-0.009805454168203142
2021-08-19,433255.5747603491,21097.85372214901,454353.42848249816,460020.2787632599,-0.012318696680061029
2021-08-20,433655.523967655,21097.85372214901,454753.37768980407,460020.2787632599,-0.011449280209158594
2021-08-23,433927.2410964087,21097.85372214901,455025.0948185577,460020.2787632599,-0.010858616837786881
2021-08-24,434216.5052794531,21097.85372214901,455314.35900160216,460020.2787632599,-0.010229809377772063
2021-08-25,435005.27868262085,21097.85372214901,456103.1324047699,460020.2787632599,-0.008515160177331813
2021-08-26,434529.7874068335,21097.85372214901,455627.64112898253,460020.2787632599,-0.009548791296954814
2021-08-27,434981.4196776465,21097.85372214901,456079.2733997955,460020.2787632599,-0.008567025293014341
2021-08-30,435378.9081763342,21097.85372214901,456476.76189848327,460020.2787632599,-0.007702957952860618
2021-08-31,436158.9081763342,21097.85372214901,457256.76189848327,460020.2787632599,-0.006007380527237147
2021-09-01,436172.0433615759,21097.85372214901,457269.89708372497,460020.2787632599,-0.0059788270354714955
2021-09-02,436232.9483794287,21097.85372214901,457330.80210157775,460020.2787632599,-0.005846430659345376
2021-09-03,436059.4577597693,21097.85372214901,457157.3114819183,460020.2787632599,-0.006223567554540179
2021-09-06,436262.0005606726,21097.85372214901,457359.85428282165,460020.2787632599,-0.005783276527701437
2021-09-07,436446.3796423987,21097.85372214901,457544.2333645477,460020.2787632599,-0.0053824701062502615
2021-09-08,435870.31272879394,21097.85372214901,456968.166450943,460020.2787632599,-0.00663473427850254
2021-09-09,436152.75566092285,21097.85372214901,457250.6093830719,460020.2787632599,-0.006020754971137571
2021-09-10,436034.58015433105,21097.85372214901,457132.4338764801,460020.2787632599,-0.0062776469214435564
2021-09-13,436017.539176853,21097.85372214901,457115.39289900206,460020.2787632599,-0.006314690891600353
2021-09-14,435782.86979666504,21097.85372214901,456880.7235188141,460020.2787632599,-0.006824819229461642
2021-09-15,435450.9692000464,21097.85372214901,456548.8229221954,460020.2787632599,-0.007546310459176447
2021-09-16,435430.852584751,21097.85372214901,456528.7063069,460020.2787632599,-0.007590040303759588
2021-09-17,435613.2812499121,21097.85372214901,456711.13497206115,460020.2787632599,-0.007193473731408511
2021-09-20,434561.67123785766,21097.85372214901,455659.5249600067,460020.2787632599,-0.009479481676279204
2021-09-21,435312.6227759436,21097.85372214901,456410.47649809264,460020.2787632599,-0.00784705029715646
2021-09-22,435664.1291998938,21097.85372214901,456761.98292204284,460020.2787632599,-0.007082939582526224
2021-09-23,435954.67754355224,21097.85372214901,457052.5312657013,460020.2787632599,-0.006451340592065258
